word,rate,year,style
section,1,2020,英语一
use,2,2020,英语一
following,5,2020,英语一
text,6,2020,英语一
choose,2,2020,英语一
best,2,2020,英语一
word,1,2020,英语一
each,2,2020,英语一
numbered,2,2020,英语一
blank,1,2020,英语一
mark,2,2020,英语一
answer,2,2020,英语一
sheet,2,2020,英语一
points,3,2020,英语一
even,4,2020,英语一
families,1,2020,英语一
less,4,2020,英语一
likely,5,2020,英语一
sit,3,2020,英语一
eat,1,2020,英语一
together,3,2020,英语一
once,1,2020,英语一
case,4,2020,英语一
millions,1,2020,英语一
britons,1,2020,英语一
none,1,2020,英语一
partaken,1,2020,英语一
weekend,1,2020,英语一
nation,1,2020,英语一
great,3,2020,英语一
roast,3,2020,英语一
cold,1,2020,英语一
winter,1,2020,英语一
day,1,2020,英语一
few,4,2020,英语一
culinary,1,2020,英语一
pleasures,1,2020,英语一
yet,2,2020,英语一
report,1,2020,英语一
now,2,2020,英语一
food,2,2020,英语一
police,1,2020,英语一
determined,1,2020,英语一
rendered,1,2020,英语一
another,3,2020,英语一
guilty,1,2020,英语一
pleasure,1,2020,英语一
damage,2,2020,英语一
health,2,2020,英语一
standards,1,2020,英语一
authority,1,2020,英语一
fsa,3,2020,英语一
public,1,2020,英语一
warning,1,2020,英语一
risks,2,2020,英语一
compound,2,2020,英语一
called,1,2020,英语一
acrylamide,2,2020,英语一
forms,1,2020,英语一
foods,2,2020,英语一
cooked,1,2020,英语一
high,5,2020,英语一
temperatures,1,2020,英语一
means,1,2020,英语一
people,14,2020,英语一
crisping,1,2020,英语一
potatoes,1,2020,英语一
spurn,1,2020,英语一
pizzas,1,2020,英语一
toast,1,2020,英语一
bread,1,2020,英语一
evidence,3,2020,英语一
support,3,2020,英语一
such,13,2020,英语一
alarmist,1,2020,英语一
studies,2,2020,英语一
shown,1,2020,英语一
cause,1,2020,英语一
neurological,1,2020,英语一
mice,1,2020,英语一
causes,1,2020,英语一
cancer,2,2020,英语一
humans,1,2020,英语一
scientists,1,2020,英语一
say,1,2020,英语一
carcinogenic,1,2020,英语一
hard,5,2020,英语一
scientific,1,2020,英语一
proof,1,2020,英语一
precautionary,1,2020,英语一
principle,1,2020,英语一
argued,3,2020,英语一
follow,3,2020,英语一
advice,1,2020,英语一
rumored,1,2020,英语一
smoking,1,2020,英语一
caused,1,2020,英语一
years,2,2020,英语一
before,1,2020,英语一
found,3,2020,英语一
prove,2,2020,英语一
doubtless,1,2020,英语一
piece,1,2020,英语一
boiled,1,2020,英语一
beef,1,2020,英语一
always,1,2020,英语一
alongside,3,2020,英语一
steamed,1,2020,英语一
vegetables,1,2020,英语一
without,3,2020,英语一
yorkshire,1,2020,英语一
pudding,1,2020,英语一
wine,1,2020,英语一
life,1,2020,英语一
worth,1,2020,英语一
says,2,2020,英语一
telling,1,2020,英语一
cut,1,2020,英语一
reduce,2,2020,英语一
lifetime,1,2020,英语一
intake,1,2020,英语一
however,1,2020,英语一
coming,1,2020,英语一
across,1,2020,英语一
exhortation,1,2020,英语一
nannying,1,2020,英语一
constant,1,2020,英语一
scares,1,2020,英语一
just,4,2020,英语一
listening,1,2020,英语一
towards,3,2020,英语一
match,1,2020,英语一
express,1,2020,英语一
satisfy,1,2020,英语一
influence,2,2020,英语一
patience,1,2020,英语一
enjoyment,1,2020,英语一
surprise,1,2020,英语一
concern,2,2020,英语一
intensified,1,2020,英语一
privileged,2,2020,英语一
compelled,1,2020,英语一
guaranteed,1,2020,英语一
issued,1,2020,英语一
received,1,2020,英语一
ignored,1,2020,英语一
canceled,1,2020,英语一
under,1,2020,英语一
forget,1,2020,英语一
regret,1,2020,英语一
finish,1,2020,英语一
avoid,2,2020,英语一
partially,1,2020,英语一
regularly,1,2020,英语一
easily,1,2020,英语一
initially,1,2020,英语一
unless,3,2020,英语一
since,1,2020,英语一
while,2,2020,英语一
secondary,1,2020,英语一
external,1,2020,英语一
inconclusive,1,2020,英语一
negative,2,2020,英语一
insufficient,1,2020,英语一
bound,1,2020,英语一
slow,1,2020,英语一
basis,2,2020,英语一
cost,1,2020,英语一
addition,1,2020,英语一
contrast,1,2020,英语一
interesting,1,2020,英语一
advisable,1,2020,英语一
urgent,1,2020,英语一
fortunate,1,2020,英语一
usual,1,2020,英语一
particular,1,2020,英语一
definition,1,2020,英语一
after,3,2020,英语一
resemblance,1,2020,英语一
combination,1,2020,英语一
connection,2,2020,英语一
pattern,1,2020,英语一
made,1,2020,英语一
served,1,2020,英语一
saved,1,2020,英语一
used,1,2020,英语一
fair,1,2020,英语一
instance,1,2020,英语一
brief,3,2020,英语一
general,2,2020,英语一
reluctantly,1,2020,英语一
entirely,2,2020,英语一
gradually,1,2020,英语一
carefully,1,2020,英语一
promise,1,2020,英语一
experience,1,2020,英语一
campaign,1,2020,英语一
competition,1,2020,英语一
pick,1,2020,英语一
open,1,2020,英语一
end,2,2020,英语一
group,2,2020,英语一
labour,2,2020,英语一
mps,2,2020,英语一
cooper,6,2020,英语一
bringing,4,2020,英语一
new,5,2020,英语一
year,9,2020,英语一
call,2,2020,英语一
institute,2,2020,英语一
town,14,2020,英语一
culture,20,2020,英语一
award,8,2020,英语一
proposal,8,2020,英语一
existing,2,2020,英语一
city,8,2020,英语一
title,7,2020,英语一
held,2,2020,英语一
awarded,2,2020,英语一
zozl,2,2020,英语一
colleagues,5,2020,英语一
argue,4,2020,英语一
success,2,2020,英语一
crown,2,2020,英语一
brought,2,2020,英语一
investment,2,2020,英语一
avalache,2,2020,英语一
arts,8,2020,英语一
confined,2,2020,英语一
cities,2,2020,英语一
britain,14,2020,英语一
true,3,2020,英语一
prevented,3,2020,英语一
applying,2,2020,英语一
generally,2,2020,英语一
lack,2,2020,英语一
resources,4,2020,英语一
put,2,2020,英语一
bit,2,2020,英语一
beat,2,2020,英语一
bigger,2,2020,英语一
competitions,2,2020,英语一
become,3,2020,英语一
annual,2,2020,英语一
event,2,2020,英语一
attracting,2,2020,英语一
funding,2,2020,英语一
creating,2,2020,英语一
jobs,2,2020,英语一
see,2,2020,英语一
boo,2,2020,英语一
prize,2,2020,英语一
fact,2,2020,英语一
longer,2,2020,英语一
able,2,2020,英语一
apply,3,2020,英语一
prestigious,2,2020,英语一
european,5,2020,英语一
capital,4,2020,英语一
bagged,2,2020,英语一
livorpool,2,2020,英语一
cynic,2,2020,英语一
speculate,2,2020,英语一
verge,2,2020,英语一
disappearing,2,2020,英语一
endless,2,2020,英语一
fever,2,2020,英语一
desperation,2,2020,英语一
reinvent,2,2020,英语一
itself,2,2020,英语一
knows,2,2020,英语一
village,2,2020,英语一
suburb,2,2020,英语一
also,6,2020,英语一
wise,2,2020,英语一
recall,2,2020,英语一
titles,4,2020,英语一
badly,2,2020,英语一
run,2,2020,英语一
washes,2,2020,英语一
place,3,2020,英语一
like,4,2020,英语一
tide,2,2020,英语一
prominence,4,2020,英语一
spell,2,2020,英语一
leaving,2,2020,英语一
lasting,2,2020,英语一
benefits,3,2020,英语一
community,4,2020,英语一
really,2,2020,英语一
successful,4,2020,英语一
holders,2,2020,英语一
those,2,2020,英语一
deal,2,2020,英语一
fill,2,2020,英语一
hotel,2,2020,英语一
bedrooms,2,2020,英语一
bring,2,2020,英语一
events,4,2020,英语一
good,3,2020,英语一
press,2,2020,英语一
transform,2,2020,英语一
aspirations,4,2020,英语一
live,2,2020,英语一
nudge,2,2020,英语一
self,2,2020,英语一
image,6,2020,英语一
bolder,2,2020,英语一
optimistic,2,2020,英语一
light,2,2020,英语一
right,4,2020,英语一
requires,2,2020,英语一
remarkable,2,2020,英语一
degree,2,2020,英语一
vision,2,2020,英语一
well,2,2020,英语一
cooperation,5,2020,英语一
authorities,2,2020,英语一
private,5,2020,英语一
sector,3,2020,英语一
groups,2,2020,英语一
cultural,4,2020,英语一
organizations,2,2020,英语一
certainly,2,2020,英语一
seen,2,2020,英语一
complex,2,2020,英语一
series,3,2020,英语一
factors,3,2020,英语一
turned,2,2020,英语一
power,2,2020,英语一
art,2,2020,英语一
music,2,2020,英语一
theatre,2,2020,英语一
remains,2,2020,英语一
today,2,2020,英语一
honouring,2,2020,英语一
sustain,2,2020,英语一
street,2,2020,英语一
supporting,4,2020,英语一
local,4,2020,英语一
facilities,2,2020,英语一
above,2,2020,英语一
celebrating,2,2020,英语一
turn,3,2020,英语一
action,2,2020,英语一
consolidate,2,2020,英语一
